Date,EUR_USD_Close
2015-02-25,1.13611
2015-02-26,1.11959
2015-02-27,1.11868
2015-03-02,1.1182
2015-03-03,1.11763
2015-03-04,1.1074
2015-03-05,1.10268
2015-03-06,1.08496
2015-03-09,1.08616
2015-03-10,1.0697
2015-03-11,1.05407
2015-03-12,1.06078
2015-03-13,1.04763
2015-03-16,1.0577
2015-03-17,1.05915
2015-03-18,1.08876
2015-03-19,1.0638
2015-03-20,1.0804
2015-03-23,1.09623
2015-03-24,1.09241
2015-03-25,1.0962
2015-03-26,1.08894
2015-03-27,1.08962
2015-03-30,1.08124
2015-03-31,1.07468
2015-04-01,1.07589
2015-04-02,1.0883
2015-04-03,1.0995
2015-04-06,1.09224
2015-04-07,1.0822
2015-04-08,1.07867
2015-04-09,1.06476
2015-04-10,1.06013
2015-04-13,1.05751
2015-04-14,1.06524
2015-04-15,1.06771
2015-04-16,1.07745
2015-04-17,1.082
2015-04-20,1.07358
2015-04-21,1.0734
2015-04-22,1.0728
2015-04-23,1.0826
2015-04-24,1.0862
2015-04-27,1.08805
2015-04-28,1.0968
2015-04-29,1.1108
2015-04-30,1.123
2015-05-01,1.1211
2015-05-04,1.11466
2015-05-05,1.11948
2015-05-06,1.1346
2015-05-07,1.1266
2015-05-08,1.12065
2015-05-11,1.11568
2015-05-12,1.1216
2015-05-13,1.13477
2015-05-14,1.1402
2015-05-15,1.14459
2015-05-18,1.13094
2015-05-19,1.11537
2015-05-20,1.1108
2015-05-21,1.11221
2015-05-22,1.10121
2015-05-25,1.0978
2015-05-26,1.0875
2015-05-27,1.0902
2015-05-28,1.09398
2015-05-29,1.09813
2015-06-01,1.09259
2015-06-02,1.11518
2015-06-03,1.12683
2015-06-04,1.1243
2015-06-05,1.111
2015-06-08,1.12822
2015-06-09,1.1278
2015-06-10,1.132
2015-06-11,1.12595
2015-06-12,1.1252
2015-06-15,1.1285
2015-06-16,1.1247
2015-06-17,1.1335
2015-06-18,1.1372
2015-06-19,1.13434
2015-06-22,1.1322
2015-06-23,1.1162
2015-06-24,1.1203
2015-06-25,1.12
2015-06-26,1.1169
2015-06-29,1.1229
2015-06-30,1.1144
2015-07-01,1.1048
2015-07-02,1.10873
2015-07-03,1.1067
2015-07-06,1.1049
2015-07-07,1.1024
2015-07-08,1.10683
2015-07-09,1.1025
2015-07-10,1.11451
2015-07-13,1.1011
2015-07-14,1.1003
2015-07-15,1.0942
2015-07-16,1.0875
2015-07-17,1.0849
2015-07-20,1.0824
2015-07-21,1.0935
2015-07-22,1.09138
2015-07-23,1.0998
2015-07-24,1.0978
2015-07-27,1.1094
2015-07-28,1.1055
2015-07-29,1.0981
2015-07-30,1.0927
2015-07-31,1.0986
2015-08-03,1.0947
2015-08-04,1.0888
2015-08-05,1.0902
2015-08-06,1.09316
2015-08-07,1.0963
2015-08-10,1.1014
2015-08-11,1.1034
2015-08-12,1.1165
2015-08-13,1.1146
2015-08-14,1.1104
2015-08-17,1.10809
2015-08-18,1.1033
2015-08-19,1.1127
2015-08-20,1.12022
2015-08-21,1.136
2015-08-24,1.158
2015-08-25,1.1467
2015-08-26,1.13232
2015-08-27,1.12626
2015-08-28,1.11831
2015-08-31,1.1229
2015-09-01,1.1298
2015-09-02,1.1222
2015-09-03,1.1123
2015-09-04,1.1138
2015-09-07,1.1169
2015-09-08,1.1205
2015-09-09,1.1202
2015-09-10,1.1283
2015-09-11,1.1336
2015-09-14,1.13132
2015-09-15,1.1267
2015-09-16,1.1278
2015-09-17,1.142
2015-09-18,1.1301
2015-09-21,1.1194
2015-09-22,1.113
2015-09-23,1.1182
2015-09-24,1.1225
2015-09-25,1.11968
2015-09-28,1.1234
2015-09-29,1.12619
2015-09-30,1.1165
2015-10-01,1.11844
2015-10-02,1.12038
2015-10-05,1.1184
2015-10-06,1.12685
2015-10-07,1.1247
2015-10-08,1.1274
2015-10-09,1.13551
2015-10-12,1.13654
2015-10-13,1.13862
2015-10-14,1.1485
2015-10-15,1.13771
2015-10-16,1.13564
2015-10-19,1.13229
2015-10-20,1.13448
2015-10-21,1.134
2015-10-22,1.11169
2015-10-23,1.0998
2015-10-26,1.105
2015-10-27,1.10384
2015-10-28,1.09182
2015-10-29,1.09806
2015-10-30,1.0996
2015-11-02,1.1008
2015-11-03,1.0965
2015-11-04,1.0862
2015-11-05,1.0881
2015-11-06,1.0741
2015-11-09,1.0758
2015-11-10,1.07134
2015-11-11,1.074
2015-11-12,1.0811
2015-11-13,1.07436
2015-11-16,1.06823
2015-11-17,1.0648
2015-11-18,1.06542
2015-11-19,1.0733
2015-11-20,1.0647
2015-11-23,1.06271
2015-11-24,1.0646
2015-11-25,1.06181
2015-11-26,1.0606
2015-11-27,1.05955
2015-11-30,1.05697
2015-12-01,1.0632
2015-12-02,1.062
2015-12-03,1.09557
2015-12-04,1.08699
2015-12-07,1.0847
2015-12-08,1.0888
2015-12-09,1.10291
2015-12-10,1.0937
2015-12-11,1.0991
2015-12-14,1.0996
2015-12-15,1.09137
2015-12-16,1.09165
2015-12-17,1.0804
2015-12-18,1.08661
2015-12-21,1.09248
2015-12-22,1.0954
2015-12-23,1.0922
2015-12-24,1.0952
2015-12-25,1.0963
2015-12-28,1.0972
2015-12-29,1.09324
2015-12-30,1.0931
2015-12-31,1.0864
2016-01-01,1.0864
2016-01-04,1.08311
2016-01-05,1.0744
2016-01-06,1.0786
2016-01-07,1.09258
2016-01-08,1.09172
2016-01-11,1.086
2016-01-12,1.08461
2016-01-13,1.0872
2016-01-14,1.0857
2016-01-15,1.0913
2016-01-18,1.0889
2016-01-19,1.09134
2016-01-20,1.08801
2016-01-21,1.0883
2016-01-22,1.0793
2016-01-25,1.0852
2016-01-26,1.08553
2016-01-27,1.08969
2016-01-28,1.09502
2016-01-29,1.0831
2016-02-01,1.08929
2016-02-02,1.09177
2016-02-03,1.1105
2016-02-04,1.12
2016-02-05,1.11452
2016-02-08,1.12042
2016-02-09,1.1287
2016-02-10,1.1291
2016-02-11,1.1331
2016-02-12,1.12542
2016-02-15,1.11446
2016-02-16,1.11415
2016-02-17,1.11437
2016-02-18,1.11023
2016-02-19,1.1126
2016-02-22,1.10297
2016-02-23,1.10169
2016-02-24,1.10092
2016-02-25,1.1036
2016-02-26,1.0938
2016-02-29,1.08858
2016-03-01,1.08709
2016-03-02,1.0866
2016-03-03,1.0964
2016-03-04,1.09938
2016-03-07,1.1009
2016-03-08,1.10069
2016-03-09,1.10064
2016-03-10,1.11849
2016-03-11,1.11529
2016-03-14,1.1097
2016-03-15,1.111
2016-03-16,1.12248
2016-03-17,1.1316
2016-03-18,1.12681
2016-03-21,1.12494
2016-03-22,1.1219
2016-03-23,1.1181
2016-03-24,1.11753
2016-03-25,1.1162
2016-03-28,1.11999
2016-03-29,1.1302
2016-03-30,1.13369
2016-03-31,1.13845
2016-04-01,1.1394
2016-04-04,1.1396
2016-04-05,1.1381
2016-04-06,1.1405
2016-04-07,1.13724
2016-04-08,1.13996
2016-04-11,1.14057
2016-04-12,1.1393
2016-04-13,1.12864
2016-04-14,1.1262
2016-04-15,1.1285
2016-04-18,1.13142
2016-04-19,1.1368
2016-04-20,1.1298
2016-04-21,1.1293
2016-04-22,1.1229
2016-04-25,1.12626
2016-04-26,1.12817
2016-04-27,1.13125
2016-04-28,1.1352
2016-04-29,1.14465
2016-05-02,1.15182
2016-05-03,1.15055
2016-05-04,1.1493
2016-05-05,1.1401
2016-05-06,1.14018
2016-05-09,1.13847
2016-05-10,1.13691
2016-05-11,1.14234
2016-05-12,1.1371
